,image,label
43,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00044.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00044.tif
44,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00045.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00045.tif
45,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00046.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00046.tif
46,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00047.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00047.tif
47,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00048.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00048.tif
48,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00049.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00049.tif
49,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00050.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00050.tif
50,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00051.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00051.tif
51,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00052.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00052.tif
52,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00053.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00053.tif
53,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00054.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00054.tif
54,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00055.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00055.tif
55,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00056.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00056.tif
56,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00057.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00057.tif
57,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00058.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00058.tif
58,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00059.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00059.tif
59,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00060.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00060.tif
60,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00061.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00061.tif
61,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00062.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00062.tif
62,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00063.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00063.tif
63,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00064.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00064.tif
64,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00065.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00065.tif
65,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00066.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00066.tif
66,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00067.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00067.tif
67,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00068.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00068.tif
68,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00069.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00069.tif
69,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00070.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00070.tif
70,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00071.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00071.tif
71,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00072.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00072.tif
72,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00073.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00073.tif
73,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00074.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00074.tif
74,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00075.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00075.tif
75,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00076.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00076.tif
76,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00077.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00077.tif
77,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00078.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00078.tif
78,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00079.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00079.tif
79,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00080.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00080.tif
80,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00081.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00081.tif
81,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00082.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00082.tif
82,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00083.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00083.tif
83,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00084.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00084.tif
84,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00085.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00085.tif
85,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00086.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00086.tif
86,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00087.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00087.tif
87,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00088.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00088.tif
88,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00089.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00089.tif
89,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00090.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00090.tif
90,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00091.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00091.tif
91,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00092.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00092.tif
92,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00093.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00093.tif
93,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00094.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00094.tif
94,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00095.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00095.tif
95,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00096.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00096.tif
96,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00097.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00097.tif
97,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00098.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00098.tif
98,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00099.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00099.tif
99,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00100.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00100.tif
100,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00101.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00101.tif
101,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00102.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00102.tif
102,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00103.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00103.tif
103,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00104.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00104.tif
104,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00105.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00105.tif
105,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00106.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00106.tif
106,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00107.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00107.tif
107,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00108.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00108.tif
108,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00109.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00109.tif
109,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00110.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00110.tif
110,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00111.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00111.tif
111,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00112.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00112.tif
112,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00113.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00113.tif
113,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00114.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00114.tif
114,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00115.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00115.tif
115,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00116.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00116.tif
116,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00117.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00117.tif
117,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00118.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00118.tif
118,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00119.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00119.tif
119,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00120.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00120.tif
120,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00121.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00121.tif
121,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00122.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00122.tif
122,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00123.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00123.tif
123,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00124.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00124.tif
124,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00125.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00125.tif
125,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00126.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00126.tif
126,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00127.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00127.tif
127,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00128.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00128.tif
128,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00129.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00129.tif
129,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00130.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00130.tif
130,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00131.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00131.tif
131,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00132.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00132.tif
132,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00133.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00133.tif
133,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00134.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00134.tif
134,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00135.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00135.tif
135,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00136.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00136.tif
136,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00137.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00137.tif
137,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00138.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00138.tif
138,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00139.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00139.tif
139,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00140.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00140.tif
140,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00141.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00141.tif
141,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00142.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00142.tif
142,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00143.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00143.tif
143,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00144.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00144.tif
144,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00145.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00145.tif
145,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00146.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00146.tif
146,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00147.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00147.tif
147,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00148.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00148.tif
148,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00149.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00149.tif
149,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00150.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00150.tif
150,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00151.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00151.tif
151,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00152.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00152.tif
152,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00153.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00153.tif
153,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00154.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00154.tif
154,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00155.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00155.tif
155,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00156.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00156.tif
156,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00157.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00157.tif
157,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00158.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00158.tif
158,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00159.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00159.tif
159,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00160.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00160.tif
160,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00161.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00161.tif
161,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00162.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00162.tif
162,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00163.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00163.tif
163,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00164.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00164.tif
164,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00165.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00165.tif
165,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00166.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00166.tif
166,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00167.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00167.tif
167,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00168.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00168.tif
168,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00169.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00169.tif
169,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00170.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00170.tif
170,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00171.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00171.tif
171,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00172.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00172.tif
172,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00173.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00173.tif
173,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00174.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00174.tif
174,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00175.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00175.tif
175,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00176.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00176.tif
176,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00177.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00177.tif
177,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00178.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00178.tif
178,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00179.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00179.tif
179,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00180.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00180.tif
180,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00181.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00181.tif
181,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00182.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00182.tif
182,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00183.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00183.tif
183,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00184.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00184.tif
184,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00185.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00185.tif
185,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00186.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00186.tif
186,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00187.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00187.tif
187,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00188.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00188.tif
188,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00189.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00189.tif
189,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00190.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00190.tif
190,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00191.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00191.tif
191,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00192.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00192.tif
192,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00193.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00193.tif
193,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00194.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00194.tif
194,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00195.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00195.tif
195,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00196.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00196.tif
196,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00197.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00197.tif
197,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00198.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00198.tif
198,F:/ISPRS/Creat Datasets/experimental dataset/train/top/00199.tif,F:/ISPRS/Creat Datasets/experimental dataset/train/label/00199.tif
